Shipment ID,Origin Airport,Destination Airport,Shipment Weight (kg),Shipment Volume (m³),Freight Cost (USD),Mode of Transport,Carrier Name,Transit Time (hours),Temperature-Sensitive,Perishable Goods,Customs Clearance Time (hours),Weather Conditions,Day of Week,Delay Status
SHIP007566,ATL,SYD,679.48,9.11,1284.45,Air,FedEx,33,No,No,16,Clear,Monday,On-Time
SHIP007567,MIA,SYD,497.28,4.64,940.03,Air,Emirates Cargo,24,No,No,42,Clear,Sunday,On-Time
SHIP007568,ORD,NRT,896.34,2.43,1694.39,Truck,Emirates Cargo,70,No,Yes,6,Rainy,Friday,Delayed
SHIP007569,DFW,SYD,974.64,44.31,1842.41,Air,Lufthansa Cargo,50,No,No,1,Clear,Sunday,On-Time
SHIP007570,LAX,DXB,821.6,8.51,1553.11,Air,Emirates Cargo,23,No,No,17,Clear,Friday,Delayed
SHIP007571,SFO,HKG,992.75,30.91,1876.64,Truck,FedEx,11,No,Yes,32,Clear,Monday,On-Time
SHIP007572,MIA,SYD,354.89,32.6,670.87,Truck,UPS,46,No,No,46,Rainy,Monday,On-Time
SHIP007573,DFW,SIN,896.8,15.95,1695.26,Air,Emirates Cargo,20,Yes,No,35,Clear,Tuesday,On-Time
SHIP007574,MIA,SIN,336.63,41.68,636.35,Air,DHL,56,No,No,36,Rainy,Wednesday,Delayed
SHIP007575,JFK,HKG,126.86,10.78,239.81,Truck,UPS,37,No,No,33,Clear,Saturday,Delayed
SHIP007576,LAX,SYD,625.16,3.67,1181.77,Air,FedEx,43,No,No,42,Clear,Monday,On-Time
SHIP007577,JFK,NRT,460.44,3.52,870.39,Truck,FedEx,47,Yes,No,41,Clear,Tuesday,Delayed
SHIP007578,LAX,CDG,922.48,15.09,1743.81,Truck,Lufthansa Cargo,50,No,No,26,Clear,Sunday,Delayed
SHIP007579,DFW,NRT,497.27,23.22,940.01,Truck,Emirates Cargo,8,No,No,27,Clear,Friday,On-Time
SHIP007580,ATL,CDG,928.36,31.51,1754.92,Truck,Lufthansa Cargo,19,No,No,14,Clear,Friday,On-Time
SHIP007581,MIA,LHR,87.85,36.46,166.07,Air,Emirates Cargo,47,No,No,45,Foggy,Tuesday,Delayed
SHIP007582,MIA,LHR,832.21,9.02,1573.17,Air,UPS,34,No,No,8,Rainy,Wednesday,On-Time
SHIP007583,ORD,NRT,761.52,34.23,1439.54,Air,Lufthansa Cargo,43,No,No,8,Rainy,Tuesday,On-Time
SHIP007584,SFO,SYD,722.78,9.21,1366.31,Air,Lufthansa Cargo,47,No,Yes,32,Clear,Monday,On-Time
SHIP007585,JFK,NRT,361.58,49.86,683.51,Air,Lufthansa Cargo,18,No,No,24,Clear,Wednesday,Delayed
SHIP007586,MIA,LHR,785.92,47.96,1485.66,Air,Lufthansa Cargo,22,No,No,21,Rainy,Sunday,Delayed
SHIP007587,DFW,DXB,488.46,5.21,923.36,Truck,DHL,50,No,No,37,Clear,Monday,On-Time
SHIP007588,ATL,CDG,718.05,32.79,1357.36,Air,DHL,25,No,No,16,Clear,Friday,On-Time
SHIP007589,SFO,HKG,556.7,45.17,1052.36,Air,Lufthansa Cargo,65,No,Yes,19,Rainy,Tuesday,On-Time
SHIP007590,DFW,NRT,165.87,4.13,313.55,Air,Emirates Cargo,69,No,Yes,21,Clear,Thursday,On-Time
SHIP007591,JFK,SYD,73.91,6.29,139.72,Rail,Lufthansa Cargo,29,No,No,40,Foggy,Wednesday,On-Time
SHIP007592,ORD,SYD,372.52,17.42,704.19,Air,DHL,36,No,No,45,Clear,Thursday,Delayed
SHIP007593,MIA,SIN,933.46,4.88,1764.56,Air,DHL,52,No,No,36,Clear,Thursday,On-Time
SHIP007594,DFW,CDG,534.44,44.29,1010.28,Air,Lufthansa Cargo,39,Yes,Yes,47,Clear,Wednesday,On-Time
SHIP007595,SFO,CDG,804.17,43.79,1520.16,Air,Lufthansa Cargo,12,No,No,29,Clear,Thursday,On-Time
SHIP007596,LAX,CDG,580.19,47.44,1096.76,Rail,Emirates Cargo,26,No,No,28,Clear,Saturday,On-Time
SHIP007597,ATL,NRT,958.33,10.33,1811.58,Air,DHL,36,No,No,44,Rainy,Thursday,Delayed
SHIP007598,SFO,LHR,375.76,2.36,710.32,Air,Lufthansa Cargo,50,No,No,21,Clear,Thursday,On-Time
SHIP007599,DFW,DXB,66.48,22.29,125.67,Air,FedEx,17,No,Yes,25,Clear,Tuesday,Delayed
SHIP007600,ATL,NRT,782.86,44.04,1479.88,Air,Lufthansa Cargo,37,No,No,36,Clear,Friday,Delayed
SHIP007601,MIA,HKG,708.4,31.96,1339.12,Air,DHL,5,No,No,41,Clear,Monday,On-Time
SHIP007602,LAX,LHR,532.26,49.92,1006.16,Truck,FedEx,71,No,No,15,Clear,Friday,On-Time
SHIP007603,ORD,NRT,333.13,45.29,629.73,Truck,FedEx,54,No,No,7,Clear,Tuesday,Delayed
SHIP007604,SFO,DXB,196.38,19.7,371.23,Air,FedEx,36,Yes,No,9,Rainy,Monday,Delayed
SHIP007605,ORD,CDG,487.45,2.07,921.45,Rail,Emirates Cargo,14,No,Yes,29,Clear,Sunday,Delayed
SHIP007606,LAX,DXB,669.54,0.36,1265.66,Truck,Lufthansa Cargo,5,Yes,No,45,Clear,Monday,Delayed
SHIP007607,ATL,LHR,583.1,32.25,1102.26,Rail,FedEx,51,Yes,No,9,Rainy,Monday,On-Time
SHIP007608,MIA,NRT,443.12,45.8,837.65,Air,Emirates Cargo,11,No,No,28,Rainy,Wednesday,On-Time
SHIP007609,DFW,CDG,544.3,22.27,1028.92,Air,DHL,66,No,No,37,Clear,Thursday,Delayed
SHIP007610,LAX,NRT,116.88,43.73,220.94,Air,FedEx,56,No,Yes,31,Foggy,Wednesday,Delayed
SHIP007611,JFK,LHR,698.88,28.38,1321.13,Truck,Lufthansa Cargo,8,No,No,12,Clear,Wednesday,Delayed
SHIP007612,ATL,HKG,736.91,4.99,1393.02,Air,FedEx,61,No,No,41,Foggy,Tuesday,Delayed
SHIP007613,ORD,CDG,21.34,39.94,40.34,Truck,DHL,9,No,No,27,Clear,Wednesday,Delayed
SHIP007614,SFO,DXB,277.81,24.68,525.16,Air,DHL,59,Yes,No,15,Rainy,Wednesday,On-Time
SHIP007615,LAX,LHR,101.2,2.65,191.3,Air,FedEx,71,Yes,No,11,Clear,Tuesday,Delayed
SHIP007616,ORD,SIN,998.25,40.75,1887.04,Truck,Lufthansa Cargo,61,No,No,16,Clear,Thursday,On-Time
SHIP007617,ATL,DXB,597.41,37.91,1129.31,Truck,Emirates Cargo,43,No,No,37,Rainy,Wednesday,On-Time
SHIP007618,ORD,DXB,471.08,22.92,890.51,Air,FedEx,47,No,No,3,Foggy,Tuesday,Delayed
SHIP007619,LAX,CDG,468.37,1.07,885.38,Air,DHL,14,No,No,24,Rainy,Wednesday,Delayed
SHIP007620,ATL,NRT,965.13,17.41,1824.43,Rail,Emirates Cargo,33,No,No,1,Stormy,Saturday,On-Time
SHIP007621,JFK,SYD,663.26,21.8,1253.79,Air,Lufthansa Cargo,30,No,No,45,Rainy,Saturday,On-Time
SHIP007622,LAX,DXB,176.97,8.35,334.53,Air,FedEx,34,No,Yes,7,Clear,Thursday,On-Time
SHIP007623,DFW,LHR,453.68,8.13,857.61,Air,DHL,69,No,Yes,41,Rainy,Wednesday,On-Time
SHIP007624,MIA,SIN,776.45,8.43,1467.76,Air,Emirates Cargo,42,No,No,33,Clear,Thursday,On-Time
SHIP007625,LAX,HKG,429.12,18.59,811.19,Air,UPS,19,No,No,34,Clear,Sunday,Delayed
SHIP007626,ATL,SIN,316.44,40.9,598.18,Air,Emirates Cargo,23,No,Yes,5,Clear,Sunday,On-Time
SHIP007627,SFO,LHR,991.3,37.99,1873.9,Air,DHL,32,No,No,39,Clear,Tuesday,Delayed
SHIP007628,MIA,CDG,936.28,0.6,1769.9,Truck,DHL,19,No,Yes,20,Rainy,Friday,Delayed
SHIP007629,LAX,LHR,942.14,0.58,1780.97,Air,UPS,65,No,No,28,Rainy,Friday,Delayed
SHIP007630,JFK,SYD,140.36,3.98,265.33,Air,UPS,42,No,No,36,Clear,Tuesday,On-Time
SHIP007631,SFO,SYD,241.91,23.38,457.29,Air,UPS,36,No,Yes,10,Stormy,Wednesday,On-Time
SHIP007632,JFK,SYD,447.65,44.46,846.21,Air,Lufthansa Cargo,45,No,Yes,28,Stormy,Monday,Delayed
SHIP007633,DFW,DXB,833.81,9.19,1576.19,Air,DHL,19,No,No,31,Clear,Wednesday,Delayed
SHIP007634,SFO,CDG,739.46,23.89,1397.84,Truck,FedEx,67,No,Yes,40,Foggy,Thursday,On-Time
SHIP007635,ORD,NRT,851.17,2.13,1609.01,Truck,Lufthansa Cargo,5,No,No,21,Clear,Sunday,Delayed
SHIP007636,SFO,SYD,921.56,1.11,1742.07,Air,DHL,47,Yes,No,46,Clear,Thursday,On-Time
SHIP007637,MIA,NRT,782.96,0.47,1480.07,Air,Emirates Cargo,18,No,No,24,Clear,Sunday,Delayed
SHIP007638,SFO,HKG,269.15,36.86,508.79,Air,UPS,6,No,No,5,Clear,Tuesday,Delayed
SHIP007639,ATL,HKG,292.59,1.29,553.1,Air,Emirates Cargo,12,No,Yes,4,Clear,Wednesday,Delayed
SHIP007640,ATL,NRT,358.96,13.76,678.56,Air,FedEx,15,No,No,31,Clear,Thursday,On-Time
SHIP007641,ORD,LHR,310.04,32.29,586.08,Air,Lufthansa Cargo,24,No,No,25,Foggy,Thursday,On-Time
SHIP007642,SFO,SYD,256.61,30.97,485.08,Air,Emirates Cargo,48,No,Yes,31,Rainy,Tuesday,Delayed
SHIP007643,JFK,DXB,754.96,2.85,1427.14,Air,FedEx,63,No,Yes,47,Clear,Monday,Delayed
SHIP007644,JFK,HKG,43.65,12.91,82.51,Truck,Emirates Cargo,21,Yes,No,12,Clear,Friday,On-Time
SHIP007645,LAX,SIN,731.11,32,1382.05,Air,DHL,16,No,Yes,24,Foggy,Wednesday,On-Time
SHIP007646,DFW,CDG,825.33,19.67,1560.16,Truck,Emirates Cargo,25,No,No,34,Clear,Sunday,Delayed
SHIP007647,MIA,SIN,75.38,23.34,142.49,Air,UPS,71,Yes,No,27,Foggy,Sunday,On-Time
SHIP007648,DFW,NRT,71.23,10.43,134.65,Air,UPS,8,No,No,23,Clear,Monday,On-Time
SHIP007649,SFO,HKG,292.61,1.98,553.13,Air,DHL,58,No,Yes,22,Clear,Sunday,Delayed
SHIP007650,DFW,HKG,216.22,17.33,408.73,Truck,Lufthansa Cargo,31,Yes,No,22,Clear,Wednesday,On-Time
SHIP007651,LAX,LHR,585.32,34.18,1106.46,Air,UPS,38,Yes,No,9,Stormy,Friday,On-Time
SHIP007652,DFW,LHR,678.7,38.35,1282.98,Air,Emirates Cargo,5,Yes,No,30,Foggy,Wednesday,Delayed
SHIP007653,ORD,SYD,637.8,29.67,1205.66,Air,UPS,63,Yes,Yes,41,Rainy,Sunday,Delayed
SHIP007654,LAX,NRT,363.77,19.72,687.65,Rail,DHL,56,Yes,Yes,17,Clear,Sunday,Delayed
SHIP007655,ORD,CDG,503.41,29.2,951.62,Air,Lufthansa Cargo,49,No,Yes,24,Clear,Tuesday,Delayed
SHIP007656,SFO,SYD,643.59,35.28,1216.61,Air,DHL,22,No,No,2,Foggy,Wednesday,Delayed
SHIP007657,LAX,LHR,128.23,37.79,242.4,Rail,Emirates Cargo,54,No,Yes,1,Stormy,Tuesday,Delayed
SHIP007658,SFO,DXB,237.22,4.81,448.43,Air,UPS,38,Yes,No,21,Clear,Monday,On-Time
SHIP007659,SFO,CDG,891.59,40.17,1685.42,Truck,Emirates Cargo,58,No,No,31,Clear,Friday,On-Time
SHIP007660,DFW,DXB,348.9,3.27,659.54,Air,UPS,58,No,Yes,44,Foggy,Tuesday,Delayed
SHIP007661,ORD,SYD,803.14,43.54,1518.21,Air,UPS,56,No,No,2,Rainy,Friday,On-Time
SHIP007662,SFO,LHR,258.48,19.67,488.62,Air,FedEx,34,Yes,No,14,Foggy,Sunday,Delayed
SHIP007663,ORD,CDG,51.22,27.39,96.82,Air,DHL,8,No,No,19,Foggy,Friday,On-Time
SHIP007664,ORD,SYD,505.4,14.57,955.38,Truck,FedEx,57,No,No,3,Clear,Wednesday,Delayed
SHIP007665,LAX,HKG,893.56,21.39,1689.14,Air,Emirates Cargo,28,Yes,No,2,Clear,Thursday,On-Time
SHIP007666,ATL,SYD,821.09,42.28,1552.15,Air,Emirates Cargo,54,Yes,No,2,Stormy,Tuesday,On-Time
SHIP007667,DFW,NRT,260.41,14.86,492.27,Air,Lufthansa Cargo,49,No,No,11,Clear,Sunday,On-Time
SHIP007668,SFO,SIN,910.84,28.25,1721.8,Air,UPS,65,No,No,26,Rainy,Monday,Delayed
SHIP007669,ORD,HKG,484.92,32.39,916.67,Air,FedEx,11,No,No,34,Rainy,Tuesday,Delayed
SHIP007670,MIA,DXB,58.51,7.41,110.6,Air,Lufthansa Cargo,49,No,No,17,Foggy,Friday,Delayed
SHIP007671,ATL,HKG,37.65,38.91,71.17,Air,FedEx,38,No,No,44,Clear,Thursday,Delayed
SHIP007672,SFO,SYD,490.26,49.95,926.76,Air,Emirates Cargo,14,No,No,12,Clear,Wednesday,On-Time
SHIP007673,MIA,HKG,550.86,7.84,1041.32,Air,Lufthansa Cargo,15,No,No,1,Stormy,Tuesday,On-Time
SHIP007674,DFW,SIN,89.11,38.42,168.45,Air,DHL,49,No,No,40,Clear,Wednesday,On-Time
SHIP007675,DFW,NRT,923.02,7.44,1744.83,Air,Lufthansa Cargo,53,No,No,28,Foggy,Sunday,On-Time
SHIP007676,ORD,SYD,721.03,47.52,1363,Rail,UPS,44,No,No,7,Clear,Thursday,Delayed
SHIP007677,ORD,SIN,803.27,20.61,1518.46,Truck,Emirates Cargo,55,No,No,7,Foggy,Monday,Delayed
SHIP007678,SFO,HKG,588.18,49,1111.86,Air,DHL,32,No,No,42,Clear,Friday,Delayed
SHIP007679,LAX,SIN,666.91,3.49,1260.69,Air,Emirates Cargo,66,No,No,37,Clear,Thursday,On-Time
SHIP007680,ATL,HKG,393.98,39.57,744.76,Air,UPS,19,No,No,14,Clear,Friday,On-Time
SHIP007681,SFO,CDG,682.5,23.72,1290.16,Air,Emirates Cargo,42,No,No,39,Rainy,Saturday,Delayed
SHIP007682,ATL,HKG,978.4,14.55,1849.52,Air,DHL,53,No,No,32,Clear,Saturday,On-Time
SHIP007683,ORD,LHR,651.24,37.42,1231.07,Air,Lufthansa Cargo,5,No,Yes,43,Rainy,Sunday,Delayed
SHIP007684,DFW,SIN,348.22,31.8,658.26,Air,Lufthansa Cargo,54,No,No,14,Clear,Monday,On-Time
SHIP007685,ORD,NRT,292.39,45.15,552.72,Air,Lufthansa Cargo,18,Yes,No,29,Clear,Saturday,On-Time
SHIP007686,DFW,SIN,963.71,12.52,1821.75,Rail,DHL,17,Yes,No,26,Stormy,Saturday,On-Time
SHIP007687,SFO,DXB,193.15,46.99,365.12,Truck,Lufthansa Cargo,26,Yes,No,35,Rainy,Friday,Delayed
SHIP007688,DFW,NRT,808.13,32.13,1527.65,Air,FedEx,61,No,No,6,Clear,Thursday,Delayed
SHIP007689,ORD,NRT,470.61,22.58,889.62,Air,FedEx,45,No,Yes,12,Stormy,Friday,On-Time
SHIP007690,JFK,DXB,449.32,2.75,849.37,Air,Lufthansa Cargo,41,No,No,33,Clear,Saturday,Delayed
SHIP007691,ATL,LHR,750.06,38.28,1417.87,Rail,UPS,9,No,No,6,Rainy,Friday,Delayed
SHIP007692,MIA,SIN,156.56,42.93,295.95,Rail,DHL,35,No,No,24,Rainy,Saturday,Delayed
SHIP007693,DFW,NRT,471.63,40.5,891.54,Rail,UPS,69,No,Yes,4,Stormy,Friday,Delayed
SHIP007694,DFW,SIN,45.48,36.81,85.97,Truck,Emirates Cargo,61,No,No,21,Stormy,Tuesday,Delayed
SHIP007695,JFK,NRT,673.7,48.47,1273.53,Truck,UPS,19,No,No,14,Clear,Friday,On-Time
SHIP007696,SFO,DXB,67.79,42.47,128.15,Air,UPS,33,Yes,No,21,Rainy,Friday,On-Time
SHIP007697,SFO,DXB,96.42,46.4,182.27,Air,UPS,58,Yes,No,23,Clear,Friday,On-Time
SHIP007698,SFO,HKG,846.38,36.55,1599.95,Air,Lufthansa Cargo,45,No,No,43,Clear,Monday,On-Time
SHIP007699,MIA,SYD,448.53,41.03,847.88,Air,Emirates Cargo,38,Yes,No,39,Rainy,Wednesday,On-Time
SHIP007700,LAX,SIN,208.97,14.53,395.03,Air,Emirates Cargo,39,No,No,38,Clear,Tuesday,Delayed
SHIP007701,JFK,SIN,596.66,33.48,1127.9,Air,Lufthansa Cargo,59,No,Yes,19,Clear,Thursday,On-Time
SHIP007702,MIA,NRT,524.09,10.36,990.71,Air,FedEx,37,Yes,No,19,Stormy,Wednesday,Delayed
SHIP007703,JFK,HKG,416.8,3.56,787.9,Rail,FedEx,46,No,Yes,11,Clear,Tuesday,Delayed
SHIP007704,DFW,SIN,906.36,29,1713.34,Air,Emirates Cargo,12,No,No,14,Stormy,Saturday,On-Time
SHIP007705,ATL,NRT,751.96,39.17,1421.47,Air,DHL,34,No,No,45,Clear,Saturday,On-Time
SHIP007706,JFK,LHR,160.08,4.23,302.61,Air,Lufthansa Cargo,46,Yes,No,12,Clear,Wednesday,On-Time
SHIP007707,LAX,DXB,575.07,9.15,1087.08,Air,UPS,29,No,No,45,Clear,Wednesday,Delayed
SHIP007708,ORD,DXB,97.86,4.74,184.99,Rail,DHL,18,No,No,29,Clear,Friday,On-Time
SHIP007709,MIA,SYD,252.21,31.75,476.76,Air,FedEx,69,No,No,1,Clear,Wednesday,On-Time
SHIP007710,JFK,DXB,910.76,4.07,1721.65,Air,Emirates Cargo,34,Yes,No,24,Clear,Sunday,On-Time
SHIP007711,JFK,CDG,467.46,4.76,883.66,Rail,FedEx,17,Yes,Yes,12,Clear,Saturday,On-Time
SHIP007712,LAX,LHR,893.19,13.28,1688.44,Air,Emirates Cargo,16,Yes,No,29,Clear,Wednesday,Delayed
SHIP007713,ATL,LHR,174.34,13.58,329.56,Air,Lufthansa Cargo,28,No,No,32,Foggy,Thursday,On-Time
SHIP007714,JFK,HKG,213.29,27.92,403.19,Air,Emirates Cargo,42,No,No,11,Clear,Saturday,Delayed
SHIP007715,JFK,CDG,359.3,1.71,679.2,Air,DHL,56,No,No,26,Clear,Saturday,On-Time
SHIP007716,ATL,SIN,372.66,30.81,704.46,Air,DHL,39,Yes,No,37,Stormy,Thursday,Delayed
SHIP007717,LAX,SYD,747.82,20.64,1413.64,Air,DHL,32,No,No,35,Clear,Monday,Delayed
SHIP007718,MIA,LHR,603.42,9.02,1140.67,Rail,DHL,9,No,No,12,Clear,Saturday,On-Time
SHIP007719,MIA,CDG,557.72,32.7,1054.28,Rail,UPS,46,No,Yes,28,Clear,Tuesday,On-Time
SHIP007720,JFK,CDG,606.35,16.55,1146.21,Rail,FedEx,24,Yes,Yes,34,Clear,Friday,Delayed
SHIP007721,ATL,NRT,734.87,41.39,1389.16,Air,Lufthansa Cargo,26,No,Yes,17,Clear,Thursday,On-Time
SHIP007722,JFK,LHR,893.89,49.47,1689.76,Air,Lufthansa Cargo,55,Yes,No,20,Stormy,Wednesday,Delayed
SHIP007723,SFO,NRT,420.59,38.97,795.06,Air,Lufthansa Cargo,51,No,No,29,Foggy,Saturday,On-Time
SHIP007724,ORD,HKG,804.9,37.18,1521.54,Air,FedEx,43,Yes,No,26,Foggy,Thursday,Delayed
SHIP007725,MIA,CDG,500.15,17.82,945.46,Air,Emirates Cargo,32,Yes,No,12,Clear,Tuesday,On-Time
SHIP007726,SFO,DXB,724.86,26.78,1370.24,Air,Lufthansa Cargo,51,No,No,44,Clear,Wednesday,Delayed
SHIP007727,DFW,CDG,876.08,2.73,1656.1,Truck,Lufthansa Cargo,25,No,No,12,Clear,Sunday,On-Time
SHIP007728,ORD,SIN,41.89,36.39,79.19,Rail,UPS,52,Yes,Yes,29,Clear,Sunday,Delayed
SHIP007729,JFK,LHR,551.16,33.78,1041.88,Air,Lufthansa Cargo,54,Yes,No,24,Clear,Saturday,On-Time
SHIP007730,LAX,SIN,989.49,13.54,1870.48,Air,Lufthansa Cargo,53,Yes,No,40,Clear,Thursday,Delayed
SHIP007731,MIA,HKG,501.26,26.75,947.56,Truck,Emirates Cargo,66,No,No,8,Foggy,Wednesday,Delayed
SHIP007732,DFW,SYD,865.66,34,1636.4,Air,Lufthansa Cargo,39,No,No,28,Clear,Wednesday,On-Time
SHIP007733,ORD,DXB,194.04,18.46,366.8,Rail,Lufthansa Cargo,9,Yes,No,31,Foggy,Tuesday,Delayed
SHIP007734,MIA,LHR,608.24,36.31,1149.79,Air,FedEx,41,Yes,No,8,Stormy,Saturday,On-Time
SHIP007735,ATL,CDG,871.6,39.86,1647.63,Air,UPS,45,No,No,37,Clear,Tuesday,Delayed
SHIP007736,LAX,DXB,437.22,11.25,826.5,Air,FedEx,44,Yes,No,6,Clear,Wednesday,Delayed
SHIP007737,ORD,CDG,491.85,15.13,929.77,Air,Lufthansa Cargo,62,No,Yes,44,Stormy,Wednesday,On-Time
SHIP007738,ATL,HKG,91.2,20.14,172.4,Truck,UPS,6,No,No,24,Stormy,Wednesday,On-Time
SHIP007739,SFO,SYD,51.75,11.86,97.83,Truck,Emirates Cargo,54,No,Yes,46,Rainy,Sunday,On-Time
SHIP007740,JFK,LHR,474.02,38.8,896.06,Air,FedEx,52,No,Yes,13,Clear,Thursday,On-Time
SHIP007741,ATL,HKG,845.04,28.63,1597.42,Air,Emirates Cargo,28,No,No,39,Foggy,Sunday,On-Time
SHIP007742,ORD,HKG,932.01,19.07,1761.82,Air,Lufthansa Cargo,37,No,No,8,Rainy,Wednesday,On-Time
SHIP007743,ORD,SYD,662.07,0.9,1251.54,Truck,Lufthansa Cargo,46,No,No,3,Stormy,Saturday,Delayed
SHIP007744,SFO,HKG,828.13,16.36,1565.45,Air,UPS,30,No,No,8,Clear,Wednesday,Delayed
SHIP007745,JFK,HKG,737.51,41.84,1394.15,Truck,Emirates Cargo,20,No,No,28,Rainy,Saturday,On-Time
SHIP007746,ATL,CDG,704.47,37.2,1331.69,Rail,Lufthansa Cargo,25,No,No,38,Clear,Friday,On-Time
SHIP007747,ATL,NRT,771.34,3.46,1458.1,Truck,Emirates Cargo,6,No,No,46,Clear,Saturday,On-Time
SHIP007748,JFK,SIN,510.25,40.09,964.55,Air,Emirates Cargo,63,Yes,No,27,Clear,Friday,On-Time
SHIP007749,ATL,CDG,463.36,9.03,875.91,Truck,UPS,12,Yes,No,27,Clear,Thursday,Delayed
SHIP007750,MIA,SYD,167.55,49.35,316.73,Rail,UPS,11,No,Yes,20,Clear,Thursday,On-Time
SHIP007751,JFK,DXB,845.38,43.44,1598.06,Truck,Lufthansa Cargo,25,No,Yes,28,Clear,Saturday,On-Time
SHIP007752,LAX,SYD,54.17,45.67,102.4,Rail,Lufthansa Cargo,22,No,No,26,Clear,Monday,Delayed
SHIP007753,ORD,SYD,274.77,38.5,519.41,Air,Emirates Cargo,5,Yes,No,12,Clear,Sunday,On-Time
SHIP007754,LAX,SYD,524.72,35.57,991.9,Truck,FedEx,12,Yes,Yes,47,Stormy,Tuesday,On-Time
SHIP007755,MIA,SYD,971.88,12.3,1837.19,Rail,Lufthansa Cargo,6,No,Yes,44,Clear,Thursday,On-Time
SHIP007756,SFO,HKG,788.11,29.36,1489.8,Air,Emirates Cargo,26,No,No,14,Clear,Thursday,On-Time
SHIP007757,MIA,SYD,374.98,34.85,708.84,Air,Emirates Cargo,24,No,No,2,Clear,Saturday,On-Time
SHIP007758,DFW,DXB,716.81,14.48,1355.02,Air,DHL,39,No,No,43,Stormy,Wednesday,On-Time
SHIP007759,DFW,SYD,932.06,19.98,1761.92,Rail,DHL,64,No,Yes,38,Rainy,Thursday,Delayed
SHIP007760,DFW,CDG,543.49,47.36,1027.39,Air,FedEx,35,Yes,No,19,Rainy,Sunday,Delayed
SHIP007761,JFK,HKG,467.32,20.46,883.4,Air,UPS,45,No,No,26,Stormy,Sunday,On-Time
SHIP007762,ATL,CDG,557.46,15.84,1053.79,Air,FedEx,71,No,No,11,Clear,Tuesday,On-Time
SHIP007763,MIA,HKG,318.41,5.45,601.91,Air,FedEx,28,No,Yes,19,Clear,Tuesday,Delayed
SHIP007764,LAX,CDG,908.28,17.13,1716.97,Rail,Lufthansa Cargo,19,No,No,22,Rainy,Tuesday,On-Time
SHIP007765,SFO,LHR,799.31,30.65,1510.97,Air,Emirates Cargo,42,No,No,32,Clear,Thursday,On-Time
SHIP007766,LAX,SIN,708.43,7.47,1339.18,Truck,FedEx,42,No,Yes,21,Clear,Wednesday,Delayed
SHIP007767,LAX,SIN,593.2,30.3,1121.35,Air,UPS,70,No,No,33,Clear,Tuesday,On-Time
SHIP007768,LAX,HKG,969.78,37.09,1833.22,Truck,Emirates Cargo,9,Yes,No,32,Foggy,Wednesday,On-Time
SHIP007769,SFO,LHR,304.73,38.44,576.05,Air,Lufthansa Cargo,6,No,No,18,Clear,Monday,On-Time
SHIP007770,DFW,DXB,290.3,49.24,548.77,Air,DHL,6,No,No,27,Clear,Tuesday,Delayed
SHIP007771,LAX,LHR,249.72,21.78,472.06,Truck,FedEx,42,No,No,5,Clear,Tuesday,Delayed
SHIP007772,SFO,NRT,744.36,1.72,1407.1,Air,Emirates Cargo,41,No,No,12,Clear,Tuesday,On-Time
SHIP007773,SFO,HKG,799.31,42.75,1510.97,Rail,DHL,14,No,No,11,Rainy,Wednesday,On-Time
SHIP007774,ATL,LHR,601.14,4.27,1136.36,Air,Lufthansa Cargo,28,Yes,Yes,20,Clear,Tuesday,On-Time
SHIP007775,SFO,DXB,655.46,43.1,1239.05,Air,UPS,28,No,No,34,Clear,Friday,On-Time
SHIP007776,DFW,HKG,355.47,49.14,671.96,Truck,Lufthansa Cargo,8,No,Yes,39,Clear,Thursday,On-Time
SHIP007777,LAX,SIN,49.36,45.35,93.31,Air,UPS,44,No,No,10,Rainy,Thursday,On-Time
SHIP007778,SFO,SYD,261.1,48.2,493.57,Truck,UPS,18,No,No,8,Clear,Sunday,Delayed
SHIP007779,JFK,LHR,588.46,1.26,1112.39,Truck,UPS,30,Yes,No,19,Clear,Thursday,Delayed
SHIP007780,SFO,SIN,814.8,0.67,1540.26,Air,Lufthansa Cargo,16,No,No,24,Rainy,Thursday,On-Time
SHIP007781,ORD,SIN,779.42,10.59,1473.38,Air,FedEx,31,Yes,No,39,Clear,Saturday,Delayed
SHIP007782,ORD,CDG,187.69,39.96,354.8,Air,DHL,10,No,No,1,Clear,Wednesday,Delayed
SHIP007783,ORD,DXB,60.93,4.56,115.18,Air,Emirates Cargo,31,Yes,No,18,Stormy,Wednesday,On-Time
SHIP007784,SFO,NRT,852.05,37.35,1610.67,Air,FedEx,18,No,No,32,Foggy,Saturday,Delayed
SHIP007785,DFW,SYD,84.83,0.73,160.36,Air,FedEx,26,No,Yes,37,Clear,Friday,Delayed
SHIP007786,LAX,LHR,399.38,36.58,754.97,Air,Emirates Cargo,53,Yes,No,7,Rainy,Wednesday,On-Time
SHIP007787,MIA,SIN,103.28,12.58,195.24,Rail,Emirates Cargo,24,Yes,No,28,Clear,Thursday,On-Time
SHIP007788,MIA,SIN,568.41,22.08,1074.49,Air,DHL,7,Yes,No,43,Clear,Saturday,On-Time
SHIP007789,MIA,NRT,369.7,48.83,698.86,Air,FedEx,53,Yes,No,46,Rainy,Thursday,On-Time
SHIP007790,DFW,DXB,210.47,27.63,397.86,Air,DHL,29,No,No,25,Rainy,Sunday,On-Time
SHIP007791,ATL,SYD,599.22,3.82,1132.73,Truck,FedEx,31,No,Yes,41,Rainy,Friday,On-Time
